Timestamp,Drowsiness Score,Blink Count,Alert Number
2026-06-04 11:31:08,21,15,1
2026-06-04 11:31:08,21,18,2
2026-06-04 11:31:45,21,39,3
2026-06-04 11:32:00,21,47,4
